Name,Mass (solar),Distance (Mly),Size (kpc),Luminosity (solar),Type
Andromeda,1.50E+12,2.54,220,2.60E+10,Spiral
LMC,1.50E+10,0.163,14,2.00E+09,Dwarf
SMC,7.00E+09,0.206,7,5.00E+08,Dwarf
Cartwheel,2.90E+11,500,44,2.90E+10,Spiral
Cigar,1.00E+10,11.4,10,5.00E+10,Spiral
Condor,6.00E+11,212,522,2.00E+11,Spiral
Triangulum,5.00E+10,2.73,60,3.70E+09,Spiral
Sombrero,8.00E+11,29.3,50,8.00E+10,Spiral
Sunflower,1.00E+11,27,50,2.00E+10,Spiral
Fireworks,3.00E+10,25.2,40,1.70E+10,Spiral
Whirlpool,1.60E+11,23,76,1.70E+10,Spiral
Tadpole,1.80E+11,420,280,2.00E+10,Spiral
Grasshopper,1.40E+11,83,25,3.00E+09,Irregular
Mice,2.00E+11,290,130,5.00E+10,Irregular
Pinwheel,1.00E+11,21,170,3.00E+10,Spiral
Sculptor,2.90E+10,11.4,26,5.00E+09,Spiral
3C48,3.00E+11,3900,100,6.00E+12,Quasar
M77,1.30E+11,47,60,1.00E+11,Spiral
JADES-GS-z13-0,1.00E+08,13400,2,1.00E+08,Unknown
M87,3.00E+12,16.4,40.55,4.60E+10,Elliptical
