Year,Month,Monthly Average,Monthly Anomaly Uncertainty
1850,1,11.440000000000001,0.404
1850,2,12.197,0.524
1850,3,12.666,0.449
1850,4,13.345,0.304
1850,5,14.288,0.249
1850,6,15.286,0.295
1850,7,15.758,0.223
1850,8,15.600999999999999,0.257
1850,9,14.747,0.225
1850,10,13.639,0.347
1850,11,12.635,0.325
1850,12,11.98,0.329
1851,1,12.035,0.369
1851,2,12.001,0.362
1851,3,12.474,0.364
1851,4,13.316,0.433
1851,5,14.58,0.313
1851,6,15.38,0.326
1851,7,15.716999999999999,0.228
1851,8,15.456999999999999,0.269
1851,9,14.774,0.299
1851,10,14.083,0.383
1851,11,12.829,0.347
1851,12,12.321,0.369
1852,1,11.955,0.499
1852,2,11.899,0.452
1852,3,12.277000000000001,0.33
1852,4,13.415000000000001,0.326
1852,5,14.764,0.309
1852,6,15.529,0.265
1852,7,15.894,0.199
1852,8,15.411999999999999,0.265
1852,9,14.865,0.23
1852,10,14.064,0.223
1852,11,12.67,0.356
1852,12,12.551,0.417
1853,1,11.923,0.465
1853,2,12.058,0.429
1853,3,12.639000000000001,0.286
1853,4,13.674000000000001,0.27
1853,5,14.645,0.257
1853,6,15.464,0.213
1853,7,15.965,0.235
1853,8,15.706,0.222
1853,9,14.767999999999999,0.211
1853,10,13.754,0.271
1853,11,12.558,0.354
1853,12,12.138,0.292
1854,1,11.644,0.403
1854,2,11.822,0.365
1854,3,12.761000000000001,0.262
1854,4,13.538,0.32
1854,5,14.626,0.253
1854,6,15.16,0.362
1854,7,15.748999999999999,0.279
1854,8,15.569999999999999,0.219
1854,9,14.915,0.282
1854,10,14.34,0.279
1854,11,12.972000000000001,0.375
1854,12,12.219,0.4
1855,1,12.117,0.52
1855,2,12.264999999999999,0.342
1855,3,12.765,0.294
1855,4,13.858,0.332
1855,5,14.681,0.25
1855,6,15.295,0.228
1855,7,15.549,0.23
1855,8,15.508999999999999,0.232
1855,9,14.687999999999999,0.238
1855,10,13.921,0.267
1855,11,12.824,0.26
1855,12,11.921,0.3
1856,1,12.225,0.356
1856,2,12.013,0.419
1856,3,12.623000000000001,0.331
1856,4,13.533000000000001,0.236
1856,5,14.571,0.256
1856,6,15.5,0.378
1856,7,15.641,0.291
1856,8,15.238,0.252
1856,9,14.450999999999999,0.225
1856,10,13.554,0.22
1856,11,12.64,0.25
1856,12,12.037,0.339
1857,1,11.684000000000001,0.366
1857,2,11.859,0.354
1857,3,12.402000000000001,0.304
1857,4,13.123000000000001,0.232
1857,5,14.151,0.216
1857,6,15.079,0.226
1857,7,15.421999999999999,0.231
1857,8,15.302,0.28
1857,9,14.683,0.269
1857,10,13.698,0.221
1857,11,12.711,0.266
1857,12,12.241,0.265
1858,1,11.982000000000001,0.543
1858,2,11.914,0.334
1858,3,12.725,0.311
1858,4,13.664000000000001,0.213
1858,5,14.501,0.187
1858,6,15.372,0.24
1858,7,15.607999999999999,0.21
1858,8,15.434,0.291
1858,9,14.68,0.248
1858,10,13.949,0.222
1858,11,13.036,0.226
1858,12,11.974,0.231
1859,1,11.845,0.354
1859,2,12.11,0.348
1859,3,12.793000000000001,0.293
1859,4,13.953000000000001,0.222
1859,5,14.924,0.218
1859,6,15.514,0.214
1859,7,15.613,0.232
1859,8,15.402,0.213
1859,9,14.638,0.239
1859,10,13.987,0.246
1859,11,13.02,0.266
1859,12,12.374,0.315
1860,1,11.862,0.382
1860,2,12.091,0.324
1860,3,12.333,0.313
1860,4,13.662,0.227
1860,5,14.69,0.214
1860,6,15.425,0.186
1860,7,15.658999999999999,0.219
1860,8,15.54,0.229
1860,9,14.866999999999999,0.253
1860,10,13.873,0.26
1860,11,12.679,0.256
1860,12,11.599,0.335
1861,1,11.197000000000001,0.339
1861,2,11.751,0.358
1861,3,12.451,0.285
1861,4,13.511000000000001,0.332
1861,5,14.443,0.223
1861,6,15.256,0.199
1861,7,15.606,0.244
1861,8,15.559999999999999,0.245
1861,9,14.76,0.248
1861,10,13.758,0.219
1861,11,13.002,0.231
1861,12,12.121,0.292
1862,1,11.283000000000001,0.438
1862,2,11.649,0.355
1862,3,12.496,0.297
1862,4,13.382000000000001,0.328
1862,5,14.619,0.274
1862,6,15.322000000000001,0.221
1862,7,15.601999999999999,0.197
1862,8,15.273,0.26
1862,9,14.628,0.225
1862,10,13.776,0.247
1862,11,12.625,0.373
1862,12,11.608,0.366
1863,1,12.085,0.391
1863,2,12.275,0.417
1863,3,12.697000000000001,0.293
1863,4,13.692,0.233
1863,5,14.696,0.285
1863,6,15.301,0.243
1863,7,15.568,0.24
1863,8,15.379999999999999,0.298
1863,9,14.667,0.302
1863,10,13.779,0.258
1863,11,12.847000000000001,0.298
1863,12,12.18,0.367
1864,1,11.719000000000001,0.379
1864,2,12.014,0.517
1864,3,12.613000000000001,0.354
1864,4,13.528,0.286
1864,5,14.764999999999999,0.239
1864,6,15.545,0.25
1864,7,15.753,0.263
1864,8,15.427999999999999,0.274
1864,9,14.671,0.235
1864,10,13.892,0.254
1864,11,12.828000000000001,0.333
1864,12,12.014,0.246
1865,1,12.278,0.341
1865,2,12.107,0.291
1865,3,12.619,0.297
1865,4,13.561,0.305
1865,5,14.642,0.245
1865,6,15.381,0.273
1865,7,15.758999999999999,0.225
1865,8,15.581,0.256
1865,9,14.953999999999999,0.27
1865,10,14.03,0.268
1865,11,13.047,0.313
1865,12,11.992,0.303
1866,1,12.229000000000001,0.387
1866,2,12.051,0.394
1866,3,12.582,0.34
1866,4,13.432,0.282
1866,5,14.564,0.22
1866,6,15.391,0.229
1866,7,16.052,0.242
1866,8,15.546999999999999,0.242
1866,9,14.862,0.272
1866,10,13.983,0.29
1866,11,13.166,0.268
1866,12,12.56,0.28
1867,1,12.049000000000001,0.426
1867,2,12.08,0.352
1867,3,12.744,0.254
1867,4,13.806000000000001,0.282
1867,5,14.526,0.215
1867,6,15.442,0.21
1867,7,15.751999999999999,0.261
1867,8,15.501999999999999,0.253
1867,9,15.032,0.219
1867,10,14.25,0.312
1867,11,13.464,0.372
1867,12,12.308,0.385
1868,1,11.697000000000001,0.343
1868,2,11.759,0.323
1868,3,12.724,0.287
1868,4,13.82,0.275
1868,5,14.828,0.22
1868,6,15.52,0.227
1868,7,15.997,0.224
1868,8,15.706999999999999,0.206
1868,9,14.913,0.204
1868,10,14.233,0.247
1868,11,12.888,0.238
1868,12,12.324,0.341
1869,1,11.986,0.366
1869,2,12.349,0.408
1869,3,12.604000000000001,0.278
1869,4,13.688,0.221
1869,5,14.751999999999999,0.2
1869,6,15.462,0.312
1869,7,15.709999999999999,0.208
1869,8,15.584,0.228
1869,9,15.093,0.184
1869,10,14.019,0.255
1869,11,13.017000000000001,0.213
1869,12,12.058,0.281
1870,1,11.902000000000001,0.296
1870,2,11.936,0.291
1870,3,12.697000000000001,0.211
1870,4,13.680000000000001,0.266
1870,5,14.728,0.208
1870,6,15.558,0.159
1870,7,15.850999999999999,0.22
1870,8,15.49,0.205
1870,9,14.981,0.186
1870,10,13.913,0.194
1870,11,12.893,0.252
1870,12,11.903,0.254
1871,1,11.671000000000001,0.294
1871,2,11.809,0.297
1871,3,12.778,0.221
1871,4,13.893,0.17
1871,5,14.649,0.172
1871,6,15.435,0.189
1871,7,15.796,0.176
1871,8,15.584999999999999,0.18
1871,9,14.786,0.203
1871,10,13.988,0.223
1871,11,12.678,0.254
1871,12,12.082,0.24
1872,1,11.756,0.278
1872,2,12.009,0.258
1872,3,12.686,0.25
1872,4,13.592,0.227
1872,5,14.741999999999999,0.208
1872,6,15.387,0.166
1872,7,15.828999999999999,0.206
1872,8,15.732999999999999,0.216
1872,9,14.985,0.205
1872,10,14.034,0.201
1872,11,12.791,0.247
