Year,Month,Monthly Average,Monthly Anomaly Uncertainty
1750,1,1.713,4.137
1750,2,1.854,3.059
1750,3,5.23,2.279
1750,4,7.882999999999999,2.11
1750,5,9.493,1.337
1750,6,12.155,3.872
1750,7,13.883999999999999,2.045
1750,8,13.756,3.736
1750,9,10.789,1.416
1750,10,6.904,1.745
1750,11,1.4580000000000002,1.98
1750,12,0.29499999999999993,3.81
1751,1,0.7650000000000001,2.921
1751,2,-0.010999999999999677,5.839
1751,3,5.245,2.296
1751,4,6.744,2.176
1751,5,10.116999999999999,1.718
1751,6,11.778,1.083
1751,7,15.036,1.641
1751,8,13.286000000000001,4.201
1751,9,10.524,3.239
1751,10,6.3229999999999995,5.996
1751,11,2.857,2.128
1751,12,1.3850000000000002,3.007
1752,1,-1.0019999999999998,2.903
1752,2,4.871,3.835
1752,3,5.239,2.176
1752,4,6.622999999999999,1.557
1752,5,10.936,1.866
1752,6,13.352,1.416
1752,7,14.849,1.712
1752,8,12.613000000000001,1.473
1752,9,,
1752,10,7.6899999999999995,1.619
1752,11,5.871,2.114
1752,12,2.297,2.382
1753,1,1.389,3.363
1753,2,1.4210000000000003,3.227
1753,3,5.764,3.578
1753,4,7.084999999999999,1.397
1753,5,10.886,1.352
1753,6,12.721,2.09
1753,7,13.692,1.935
1753,8,12.239,2.822
1753,9,10.334999999999999,2.795
1753,10,8.466,2.317
1753,11,4.651,2.603
1753,12,-0.6789999999999998,3.982
1754,1,1.59,3.535
1754,2,-0.06899999999999995,3.286
1754,3,3.6220000000000003,4.485
1754,4,11.166,2.312
1754,5,11.475999999999999,2.796
1754,6,13.061,3.069
1754,7,14.033,1.658
1754,8,11.864,2.576
1754,9,9.962,3.059
1754,10,9.048,2.041
1754,11,5.502000000000001,2.613
1754,12,3.082,2.314
1755,1,1.161,3.806
1755,2,0.4900000000000002,5.689
1755,3,3.277,2.317
1755,4,8.213999999999999,2.438
1755,5,11.190999999999999,4.156
1755,6,13.765,2.899
1755,7,14.546999999999999,2.581
1755,8,12.182,1.442
1755,9,10.411,2.133
1755,10,8.527,3.403
1755,11,4.8020000000000005,2.758
1755,12,1.133,4.715
1756,1,2.917,3.472
1756,2,5.551,4.228
1756,3,4.4030000000000005,4.06
1756,4,9.149999999999999,2.629
1756,5,11.908,2.855
1756,6,13.345,1.553
1756,7,13.629,1.967
1756,8,12.101,4.256
1756,9,11.033,2.173
1756,10,7.764999999999999,2.33
1756,11,3.6990000000000003,2.362
1756,12,0.2589999999999999,2.425
1757,1,-0.45699999999999985,4.01
1757,2,3.968,3.849
1757,3,4.2010000000000005,2.79
1757,4,7.911999999999999,2.018
1757,5,11.545,2.088
1757,6,15.445,2.226
1757,7,16.015,2.882
1757,8,15.705,4.226
1757,9,12.888,3.288
1757,10,5.268999999999999,2.238
1757,11,3.7920000000000003,2.085
1757,12,0.2360000000000002,3.116
1758,1,-2.3850000000000002,3.738
1758,2,0.025000000000000355,4.643
1758,3,3.3040000000000003,2.829
1758,4,6.544999999999999,3.827
1758,5,8.389,2.953
1758,6,12.097999999999999,1.535
1758,7,12.67,1.548
1758,8,10.432,2.329
1758,9,9.201,1.413
1758,10,5.729999999999999,2.378
1758,11,4.87,3.523
1758,12,1.5220000000000002,3.076
1759,1,3.52,2.926
1759,2,3.896,5.242
1759,3,4.1290000000000004,2.382
1759,4,5.766,3.843
1759,5,8.862,2.138
1759,6,12.855,1.618
1759,7,11.633,2.559
1759,8,13.149000000000001,1.294
1759,9,10.847,1.647
1759,10,7.111999999999999,3.331
1759,11,3.0420000000000003,3.336
1759,12,-2.0989999999999998,3.186
1760,1,-2.3560000000000003,3.638
1760,2,2.496,2.92
1760,3,1.6030000000000002,2.743
1760,4,6.1,2.312
1760,5,9.343,2.954
1760,6,11.082,1.465
1760,7,11.466,2.714
1760,8,11.758000000000001,2.32
1760,9,9.558,3.214
1760,10,6.3309999999999995,3.574
1760,11,4.662000000000001,2.248
1760,12,0.30600000000000005,5.173
1761,1,-0.48599999999999977,2.82
1761,2,1.6860000000000002,4.442
1761,3,5.463,3.003
1761,4,6.781999999999999,2.127
1761,5,12.054,1.604
1761,6,15.648,3.993
1761,7,17.43,4.13
1761,8,13.040000000000001,3.851
1761,9,11.302999999999999,1.823
1761,10,5.7909999999999995,2.702
1761,11,4.7170000000000005,3.076
1761,12,-2.571,2.259
1762,1,4.954000000000001,4.842
1762,2,4.159,3.009
1762,3,3.1130000000000004,2.395
1762,4,7.882,4.766
1762,5,9.561,2.024
1762,6,12.023,2.2
1762,7,12.66,3.149
1762,8,13.039000000000001,3.115
1762,9,9.529,4.068
1762,10,5.9479999999999995,2.18
1762,11,5.793,4.924
1762,12,1.544,3.233
1763,1,-0.5499999999999998,2.963
1763,2,0.3420000000000001,4.511
1763,3,0.9279999999999999,3.23
1763,4,6.273,1.97
1763,5,9.195,4.141
1763,6,11.126,4.107
1763,7,15.33,1.908
1763,8,12.365,2.141
1763,9,10.299999999999999,1.854
1763,10,5.879999999999999,2.47
1763,11,3.857,1.955
1763,12,2.404,3.062
1764,1,0.687,3.456
1764,2,5.1610000000000005,2.817
1764,3,4.104,2.557
1764,4,6.824999999999999,3.789
1764,5,10.006,1.952
1764,6,10.373,2.28
1764,7,12.421,3.489
1764,8,11.932,1.398
1764,9,10.193,2.592
1764,10,9.809,1.532
1764,11,5.4,2.308
1764,12,4.986,2.878
1765,1,3.186,5.533
1765,2,2.5410000000000004,3.61
1765,3,5.995,2.157
1765,4,8.503,1.508
1765,5,10.033999999999999,1.335
1765,6,10.354,2.215
1765,7,13.296,2.162
1765,8,13.012,1.779
1765,9,10.658999999999999,1.503
1765,10,7.93,1.772
1765,11,5.682,2.524
1765,12,2.553,2.543
1766,1,-1.2970000000000002,3.94
1766,2,3.653,3.286
1766,3,5.083,2.696
1766,4,7.608999999999999,2.32
1766,5,10.695,2.124
1766,6,12.681,3.874
1766,7,12.7,2.257
1766,8,13.326,2.011
1766,9,12.077,1.884
1766,10,8.277,1.704
1766,11,7.178000000000001,3.093
1766,12,2.379,3.024
1767,1,-1.3569999999999998,5.869
1767,2,2.927,4.294
1767,3,5.978,4.685
1767,4,5.575999999999999,2.516
1767,5,9.411,2.232
1767,6,13.829,2.173
1767,7,12.463,2.917
1767,8,14.306000000000001,1.442
1767,9,11.404,2.352
1767,10,8.796,2.067
1767,11,8.282,4.473
1767,12,1.1560000000000001,3.573
1768,1,-2.938,3.615
1768,2,-0.7769999999999997,4.12
1768,3,1.4730000000000003,3.297
1768,4,6.467999999999999,1.451
1768,5,8.474,2.024
1768,6,11.866,1.181
1768,7,13.497,1.522
1768,8,12.067,1.601
1768,9,10.423,1.547
1768,10,7.549999999999999,2.145
1768,11,4.712,3.211
1768,12,2.833,4.655
1769,1,2.067,3.805
1769,2,1.5410000000000001,2.945
1769,3,3.8680000000000003,3.223
1769,4,8.546,3.239
1769,5,12.157,3.001
1769,6,14.102,1.329
1769,7,13.721,2.267
1769,8,12.919,2.22
1769,9,10.844999999999999,1.26
1769,10,4.900999999999999,1.796
1769,11,2.837,1.794
1769,12,-1.0529999999999995,2.648
1770,1,1.687,3.69
1770,2,3.016,3.196
1770,3,0.5220000000000002,2.244
1770,4,8.84,4.399
1770,5,9.471,1.216
1770,6,10.852,2.406
1770,7,11.011,3.936
1770,8,11.179,2.689
1770,9,10.524,1.734
1770,10,8.818,1.906
1770,11,5.825,3.655
1770,12,5.161,2.389
1771,1,4.418,5.057
1771,2,-1.5159999999999996,2.838
1771,3,1.4680000000000004,2.632
1771,4,5.101999999999999,2.507
1771,5,9.453999999999999,1.897
1771,6,13.011,1.371
1771,7,13.173,1.312
1771,8,13.473,1.563
1771,9,10.863999999999999,1.471
1771,10,10.16,1.597
1771,11,4.640000000000001,2.048
1771,12,2.48,2.86
1772,1,1.2550000000000001,5.071
1772,2,0.5370000000000004,6.468
1772,3,1.9050000000000002,2.542
1772,4,8.103,2.244
1772,5,8.678999999999998,1.249
1772,6,11.707,3.573
1772,7,13.780999999999999,2.696
1772,8,13.617,2.115
1772,9,10.149,1.872
1772,10,9.075,1.773
1772,11,7.902,3.709
1772,12,5.6850000000000005,3.162
1773,1,-0.7490000000000001,3.115
1773,2,0.6100000000000003,2.897
1773,3,3.672,1.971
1773,4,8.966,2.295
1773,5,12.516,1.523
1773,6,12.115,1.142
1773,7,13.879,1.481
1773,8,13.237,1.42
1773,9,12.203999999999999,1.619
1773,10,8.985999999999999,1.522
1773,11,3.676,3.067
1773,12,5.551,3.129
1774,1,-1.061,4.601
1774,2,3.777,4.253
1774,3,4.8500000000000005,2.323
1774,4,9.62,2.873
1774,5,16.163,2.757
1774,6,14.686,2.76
1774,7,15.602,3.077
1774,8,13.627,1.716
1774,9,10.439,1.679
1774,10,8.213999999999999,2.99
1774,11,2.596,4.746
1774,12,0.28100000000000014,3.919
1775,1,3.472,3.462
1775,2,5.1899999999999995,3.074
1775,3,6.409000000000001,2.061
1775,4,6.584,1.935
1775,5,10.051,2.702
1775,6,11.372,3.259
1775,7,13.76,1.428
1775,8,13.811,2.144
1775,9,10.635,2.209
1775,10,9.985,1.822
1775,11,7.931,4.038
1775,12,1.3770000000000002,2.215
1776,1,-1.6220000000000003,4.296
1776,2,3.64,3.314
1776,3,3.2340000000000004,2.943
1776,4,6.218,1.721
1776,5,8.998,1.953
1776,6,13.371,2.055
1776,7,13.133,1.997
