log_M,U,R,U - R,Morphology
9.908095,17.560625,15.694989,1.8656359,0
9.505205,18.252905,16.897,1.3559055,0
9.836259,18.513569,16.455812,2.0577564,0
9.753757,18.089172,16.61965,1.4695225,0
10.133391,17.754341,16.03718,1.7171612,0
10.883642,16.868149,14.512771,2.3553782,4
9.637871,18.43252,16.730652,1.701868,0
10.196201,18.210625,16.001532,2.209093,4
10.256814,17.333923,15.913465,1.4204588,0
10.128523,17.551308,15.536144,2.0151634,0
10.149878,17.104599,15.602589,1.5020103,0
10.692473,16.112698,13.900973,2.2117243,4
9.795347,16.703024,14.972754,1.7302704,4
9.789528,18.169634,15.833179,2.3364544,1
9.957834,17.438623,15.846343,1.5922804,4
9.954535,18.13953,16.157244,1.9822865,0
9.988385,18.844294,16.987078,1.8572159,0
9.818695,17.689528,15.967956,1.7215719,0
9.606931,18.972723,16.871641,2.1010818,0
10.695421,16.67903,14.650394,2.028635,4
10.501859,19.044142,16.57454,2.4696026,0
10.040269,17.439669,16.084845,1.3548241,4
10.117057,16.996593,15.404654,1.5919399,0
10.490295,16.849789,15.07754,1.7722483,4
10.368941,16.284012,14.117093,2.1669188,4
9.773941,17.250605,15.393161,1.8574438,4
10.703486,18.150923,15.618515,2.5324078,1
9.783103,18.143293,16.363165,1.7801285,4
10.813208,17.652954,15.180376,2.472578,4
10.246703,18.227066,16.169817,2.057249,0
10.542458,17.486258,15.513833,1.9724245,0
9.725889,16.9648,15.612197,1.352603,4
10.827571,18.540602,15.971146,2.569456,0
11.320233,17.76225,15.014543,2.7477083,1
9.948889,19.060997,16.630125,2.430872,0
9.627745,18.11166,16.453737,1.6579227,0
9.820691,17.200161,15.44623,1.753931,4
10.304444,17.21993,14.848504,2.3714266,1
9.841906,18.626818,16.306171,2.3206463,0
11.411136,17.84436,14.979086,2.8652744,1
11.603821,17.098751,14.293858,2.8048935,1
9.992865,17.24115,15.0173855,2.2237644,4
10.273381,17.89568,15.805616,2.090063,0
10.044532,18.735159,16.445578,2.2895813,1
9.721626,18.199152,16.749674,1.4494781,4
10.044532,18.482756,16.07372,2.4090347,4
11.169347,18.109352,15.3966875,2.7126646,1
10.772603,18.391983,15.813373,2.5786104,0
11.246242,17.797909,15.065643,2.7322655,0
10.308332,17.814142,15.575625,2.2385168,3
10.923037,17.569365,14.799248,2.7701168,3
10.295369,18.372993,15.94246,2.4305334,3
11.424099,16.190027,13.415571,2.774456,3
9.467368,17.322224,15.612744,1.7094793,3
10.128087,18.553558,16.323046,2.2305126,4
10.394697,18.803003,16.26707,2.5359325,0
11.191852,17.764196,15.10563,2.6585665,1
9.670519,17.963278,15.826473,2.1368046,0
10.091374,17.913122,16.27716,1.6359615,0
9.991122,18.479128,16.10956,2.3695679,4
10.348747,17.953793,15.798581,2.1552114,0
11.049017,17.375925,14.828532,2.5473928,1
9.65879,17.904829,16.57834,1.3264885,4
10.190555,17.256195,15.06598,2.190215,4
9.77836,16.778809,15.260579,1.5182295,0
9.964787,17.724558,16.401752,1.3228054,0
10.538152,17.131926,15.134546,1.9973793,4
11.020313,17.644766,15.0583725,2.5863934,1
10.31007,17.213943,15.518176,1.6957674,4
10.178686,17.748709,15.624867,2.1238413,4
10.102062,17.930328,15.904209,2.0261192,0
11.630085,17.151634,14.403414,2.7482204,0
10.026455,17.715185,15.875848,1.8393373,4
11.297547,16.85684,14.2796545,2.5771856,1
10.174782,17.728865,15.913559,1.8153057,4
10.35583,17.253977,14.763697,2.4902802,0
11.093657,17.583683,14.952244,2.6314392,1
9.995991,18.59923,16.411406,2.1878242,4
10.719587,18.730114,16.186356,2.5437584,0
10.301307,17.389439,15.371218,2.018221,4
10.072376,16.7945,14.824054,1.9704466,4
10.624649,18.924965,16.317486,2.607479,0
10.342999,18.502277,16.099506,2.402771,0
11.121511,18.27936,15.51463,2.7647295,1
10.009904,18.24112,15.732804,2.508315,0
9.734835,18.610569,16.684717,1.9258518,0
10.339862,18.924076,16.348215,2.575861,0
10.215201,18.525524,16.198612,2.326912,1
9.99929,18.89468,16.34489,2.5497894,4
9.868024,18.978724,16.63264,2.3460827,0
9.862377,17.9549,15.983336,1.9715643,0
10.168171,16.960756,15.156325,1.804431,4
10.06673,17.922726,16.071991,1.8507347,4
10.123482,17.767916,15.945923,1.8219929,4
10.26524,19.061483,16.512655,2.5488281,0
10.668819,17.516342,15.325886,2.1904564,4
10.103805,17.491543,16.085674,1.4058685,0
10.275551,19.419537,16.91552,2.5040169,0
11.028767,18.040653,15.415928,2.6247253,0
10.575619,17.823174,15.338578,2.4845953,1
10.058562,16.722837,15.0410595,1.681778,4
10.48542,16.378395,14.558052,1.820343,4
9.640154,18.865076,16.933977,1.9310989,0
10.634812,17.771437,15.2845125,2.4869242,0
9.952015,18.046305,16.295822,1.7504826,0
9.878928,18.567762,16.831682,1.7360802,4
10.385232,17.347633,15.335138,2.012495,0
10.815386,17.091372,14.709644,2.3817272,4
10.501859,15.797572,13.888119,1.9094534,0
10.544627,17.407618,15.218223,2.189395,0
9.844862,18.398012,16.846935,1.5510769,0
11.192473,16.277622,13.6558485,2.6217737,0
10.66385,19.230715,16.67168,2.5590343,0
9.891358,18.279764,16.53287,1.7468948,0
10.293632,17.012875,14.961605,2.0512695,4
10.899261,16.94547,14.775379,2.1700916,4
9.683291,18.068121,16.55695,1.5111713,0
9.693853,18.099833,16.57031,1.529522,0
9.612188,18.330853,16.697329,1.633524,0
11.158789,18.00892,15.287548,2.7213726,1
9.688034,18.147614,16.8029,1.3447132,0
11.695811,16.674057,13.937886,2.7361708,1
10.656178,17.81506,15.54201,2.2730494,0
10.120356,17.596712,15.43631,2.1604023,4
9.993643,18.568626,16.254517,2.3141098,0
11.006084,16.909899,14.422322,2.4875765,3
9.977697,17.678904,16.067951,1.6109524,0
9.656705,18.156904,16.280903,1.8760014,4
10.425837,18.89102,16.340946,2.5500736,0
10.001996,18.476278,16.921234,1.5550442,0
11.016425,17.926765,15.2817,2.6450653,1
10.028197,19.059954,16.714098,2.3458557,0
9.897783,18.125568,16.332083,1.7934856,4
10.170519,18.842365,16.395153,2.4472122,1
10.644615,17.376425,14.952188,2.4242373,4
10.410824,17.001516,15.211192,1.7903242,4
10.743052,16.859919,14.544286,2.3156328,4
10.534824,18.353779,15.786263,2.5675154,0
10.429535,16.478903,14.903862,1.5750408,0
10.034622,17.794542,16.36154,1.4330025,3
10.853475,19.097593,16.395817,2.7017765,0
10.172261,15.677632,14.099482,1.5781507,4
11.321633,17.86698,15.156206,2.7107735,3
10.456839,18.204664,15.71088,2.493784,3
10.324149,18.8499,16.354729,2.4951706,1
9.708374,16.825174,15.47412,1.3510542,0
10.122098,17.143633,15.506105,1.6375275,0
10.252276,18.592142,16.1633,2.4288425,0
9.911036,18.615652,16.597746,2.0179062,0
10.019455,17.563856,15.535886,2.0279703,4
10.407998,18.388885,15.978955,2.4099302,1
10.493994,16.670341,14.664214,2.0061274,4
9.630265,18.801657,16.918861,1.8827953,0
10.697628,17.489052,14.987017,2.5020351,0
10.255076,17.271215,15.346383,1.9248323,4
10.626197,17.15107,14.965927,2.1851425,4
9.664872,18.358553,16.497065,1.8614883,0
10.793779,18.302988,15.581549,2.7214394,0
9.715201,18.188461,16.349836,1.838625,0
9.578598,18.2694,16.697262,1.5721378,4
10.600873,17.012978,15.015528,1.9974499,1
9.792234,17.846375,16.558952,1.2874222,0
9.873065,18.520359,16.868732,1.6516266,0
9.352593,17.971859,16.676819,1.2950401,0
11.624459,17.292593,14.597611,2.6949816,1
9.347988,18.716658,16.954927,1.7617302,0
10.443875,17.571787,15.059112,2.5126753,4
11.066354,18.5581,15.84765,2.7104502,0
10.563718,17.186165,15.006686,2.1794786,4
10.462802,17.452005,15.076749,2.3752565,4
11.21384,18.12701,15.409347,2.7176638,3
10.569154,15.888153,14.080395,1.8077583,4
9.890394,18.611294,16.44738,2.1639137,1
10.893297,18.777937,15.963807,2.8141298,4
9.911222,18.996252,16.77405,2.2222023,4
10.045916,19.03207,16.618837,2.4132328,0
10.795179,16.472588,14.159969,2.3126183,0
10.777919,19.423382,16.685324,2.738058,4
10.250687,16.175386,14.337685,1.8377018,4
10.042011,17.235758,15.596191,1.6395664,4
9.705075,18.082989,16.686815,1.3961735,4
11.674445,16.874832,14.228616,2.6462164,4
11.459664,17.049078,14.451574,2.5975037,1
10.808332,17.745575,15.278219,2.4673557,3
10.473277,18.456358,16.116877,2.3394814,4
9.607709,17.486206,16.153925,1.3322811,0
10.796769,17.096163,14.498911,2.597252,1
10.19698,18.448837,16.43002,2.018818,4
10.136254,18.30475,16.38776,1.9169903,0
11.118711,17.461042,14.711617,2.749425,1
9.490344,16.875324,15.659232,1.2160921,0
11.656178,16.326208,13.408378,2.9178305,0
10.788343,17.061237,14.622335,2.438902,4
10.766788,18.556223,15.767728,2.788495,4
10.323181,18.636086,16.056898,2.5791874,1
9.876534,18.136314,16.245087,1.8912277,0
10.582455,16.443275,14.891518,1.5517578,4
9.726667,18.276115,16.704496,1.571619,0
11.146015,18.584755,15.795612,2.7891426,0
