Galaxy ID,Total # of classifications,Spiral,Elliptical,Merger,Artifact,SSDS ID,Image,GZ Original Spiral,GZ Original Elliptical,GZ Original Merger,GZ Original Artifact,Computer Classification
1,53,49,1,3,0,1237648720142336185,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648720142336185,37,0,0,0,Not Elliptical
2,50,7,35,1,7,1237648721215815838,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648721215815838,53,3,1,0,Not Elliptical
3,60,49,11,0,0,1237648721215946942,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648721215946942,58,5,0,0,Not Elliptical
4,57,0,44,0,13,1237648721216078045,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648721216078045,0,35,0,0,Elliptical
5,56,14,33,1,8,1237648721216078463,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648721216078463,31,0,0,1,Not Elliptical
6,57,3,0,54,0,1237648721245503521,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648721245503521,0,1,25,1,Elliptical
7,57,52,4,0,1,1237648722295914556,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237648722295914556,23,0,0,0,Not Elliptical
8,57,0,30,1,26,1237650795146576091,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237650795146576091,1,38,0,3,Unable to Determine
9,50,0,30,0,20,1237650795683381426,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237650795683381426,2,63,0,0,Unable to Determine
10,43,41,1,1,0,1237650796219596962,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237650796219596962,26,0,0,0,Not Elliptical
11,58,15,37,0,6,1237650796220121207,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237650796220121207,17,14,0,0,Unable to Determine
12,54,47,3,3,1,1237650796220514489,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237650796220514489,25,0,0,0,Not Elliptical
13,49,0,0,0,49,1237651538188435488,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237651538188435488,0,0,0,31,Not Elliptical
14,52,44,4,2,2,1237651800697143553,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237651800697143553,26,0,0,0,Not Elliptical
15,57,0,3,4,50,1237652899697983542,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237652899697983542,0,0,0,62,Not Elliptical
16,63,1,1,61,0,1237659896173690952,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237659896173690952,2,0,22,0,Not Elliptical
17,65,0,28,0,37,1237663783667302499,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237663783667302499,1,21,0,1,Unable to Determine
18,54,1,39,0,14,1237663784204107951,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237663784204107951,1,25,0,1,Elliptical
19,54,12,36,0,6,1237663785278570672,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237663785278570672,22,33,0,1,Unable to Determine
20,60,0,21,0,39,1237666338115617030,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237666338115617030,9,15,0,6,Unable to Determine
21,54,0,5,47,2,1237667323796127886,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237667323796127886,0,0,35,0,Not Elliptical
22,63,0,0,62,1,1237668365847560462,http://skyserver.sdss.org/dr8/en/tools/explore/obj.asp?id=1237668365847560462,0,0,27,0,Not Elliptical
