OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
588017991232782501,218.5808082,8.1610552,0.0537655,0.53086936,0.43726128,-18.68486404,-20.20423126,-20.95541382,-21.29821205,-21.55867004,10.51641178,6.29416466,0.36835358,-1.8E-01,-999,-9.99E+02
587730021726814389,239.9311217,3.644782,0.0543671,0,0.96153849,-20.10173607,-21.38407326,-21.83876991,-21.98023033,-22.15815544,10.59243011,14.51370716,0.79985124,-2.08E-01,15.9599247,5.43E+12
587724199349584024,10.6413416,15.44517844,0.0795028,0.47087625,0.49167219,-19.83496666,-21.2176857,-21.85014725,-22.14715958,-22.34899521,10.82852364,7.86275434,0.87905222,8.07E-01,1.05931997,3.94E+14
587741489833836614,165.3799543,28.18784568,0.069913,0.53201264,0.42462289,-19.43551064,-20.81128311,-21.50994301,-21.8471489,-22.10610771,10.67268467,6.84002924,0.93067592,2.85E-02,-999,-9.99E+02
587729972323418316,216.307612,-1.09945903,0.0555745,0.64705878,0.0882353,-18.37675667,-19.62374687,-20.19984245,-20.4705658,-20.68111992,9.96478462,3.18709064,0.83152592,1.04E-01,11.60404205,3.74E+13
587741602031927431,184.6257191,27.51093919,0.0685082,0.17499712,0.75944418,-18.21429825,-19.9073658,-20.71770477,-21.11854744,-21.44945908,10.4449358,5.57039976,0.33823851,-1.06E+00,-999,-9.99E+02
587726877273489553,337.1540737,-9.76721723,0.05451,0.91666669,0,-18.56473351,-20.27831459,-21.01844025,-21.36471558,-21.58616638,10.55156136,9.17625237,0.84030324,4.76E-01,28.0228405,4.57E+14
588017979434860645,199.7056422,39.65625614,0.0736674,0.0483015,0.90094376,-18.86256027,-19.90392876,-20.43043709,-20.66245651,-20.76124573,9.99163151,5.76612997,0.39756221,-6.72E-01,7.01487255,5.76E+14
587726016681410721,184.2761192,3.73428739,0.0774759,0.21366099,0.68399769,-17.07509613,-19.74115181,-20.46096611,-20.78668785,-21.15999413,10.34252167,5.18601561,0.52133203,7.32E-01,0.56275451,6.63E+14
587733605343887757,252.1476619,35.16089998,0.0818993,0.01241899,0.88636649,-19.10774422,-20.05937767,-20.34641647,-20.39276314,-20.43273735,9.81799889,6.65404177,0.84288102,-7.11E-01,16.78823662,1.02E+15
587732483266380082,126.8127451,31.87814712,0.0506412,0,0.96363628,-18.91207886,-19.84936333,-20.21354294,-20.32900047,-20.46856499,9.78147316,8.60671997,0.38117337,-5.82E-01,5.48495293,3.25E+14
588017979449671946,237.8916105,27.37052795,0.0753456,0.0158874,0.98411256,-18.99837875,-20.51161385,-21.29027557,-21.69028091,-21.98081017,10.66291618,9.6678524,0.22596663,3.54E-02,5.41665506,3.73E+14
587739097517916293,161.1124475,35.02893606,0.0837689,0.11720291,0.78512377,-18.17079544,-20.01841164,-20.78558922,-21.13999176,-21.4647789,10.4560833,5.38727713,0.34384096,-2.15E-01,8.65558624,1.9E+14
587741532256010348,190.2342951,29.4655803,0.0311706,0,1,-19.28108406,-21.1135807,-21.62265968,-21.90657997,-22.05954742,10.7399025,26.07958794,0.28702033,-7.43E-01,-999,-9.99E+02
587738196109754551,111.3491013,42.25683256,0.0593121,0.03588954,0.96411043,-18.3269558,-19.70659065,-20.27516556,-20.49592209,-20.61096764,10.16832829,7.3540659,0.37085226,3.71E-01,47.24863434,8.51E+13
587729154668822671,166.8785079,63.70731432,0.0578487,0.03761009,0.96238989,-17.78511238,-19.41137695,-20.21394539,-20.64006996,-20.94370842,10.76349735,10.96509933,0.19330829,-8.73E-01,32.62963486,2.75E+13
587729228226887717,243.0357863,52.2984799,0.0788005,0.54323095,0.06403089,-17.9771843,-19.46792793,-20.31794739,-20.57823753,-20.99690628,10.23085785,3.24924064,0.55615473,-5.9E-01,28.56130028,1.58E+15
587742062143471749,176.8948162,22.9081769,0.0832977,0.17166513,0.56323564,-18.71001625,-19.78974724,-20.22089195,-20.37607002,-20.60823441,9.91371155,5.81996107,0.87665355,-6.82E-01,-999,-9.99E+02
587731513148571800,32.35449146,0.39941529,0.0616427,0.2465876,0.75341243,-19.04946136,-20.44784546,-21.07497406,-21.35356522,-21.59443092,10.4270134,7.32766199,0.67789376,-1.15E+00,28.58946609,4.26E+13
