Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New Jersey Nets,47,35,0.573,—,90.3,87.8,1.88
Miami Heat,42,40,0.512,5,90.3,89.7,-0.13
New York Knicks,39,43,0.476,8,92,93.5,-1.97
Boston Celtics,36,46,0.439,11,95.3,96.7,-1.99
Philadelphia 76ers,33,49,0.402,14,88,90.5,-2.95
Washington Wizards,25,57,0.305,22,91.8,97.4,-6.12
Orlando Magic,21,61,0.256,26,94,101.1,-7.25
Indiana Pacers,61,21,0.744,—,91.4,85.6,4.93
Detroit Pistons,54,28,0.659,7,90.1,84.3,5.04
New Orleans Hornets,41,41,0.5,20,91.8,91.9,-0.72
Milwaukee Bucks,41,41,0.5,20,98,97,0.42
Cleveland Cavaliers,35,47,0.427,26,92.9,95.5,-3.07
Toronto Raptors,33,49,0.402,28,85.4,88.5,-3.42
Atlanta Hawks,28,54,0.341,33,92.8,97.5,-5
Chicago Bulls,23,59,0.28,38,89.7,96,-6.69
Minnesota Timberwolves,58,24,0.707,—,94.5,89.1,5.86
San Antonio Spurs,57,25,0.695,1,91.5,84.3,7.51
Dallas Mavericks,52,30,0.634,6,105.2,100.8,4.86
Memphis Grizzlies,50,32,0.61,8,96.7,94.3,2.95
Houston Rockets,45,37,0.549,13,89.8,88,2.28
Denver Nuggets,43,39,0.524,15,97.2,96.1,1.65
Utah Jazz,42,40,0.512,16,88.7,89.9,-0.53
Los Angeles Lakers,56,26,0.683,—,98.2,94.3,4.35
Sacramento Kings,55,27,0.671,1,102.8,97.8,5.41
Portland Trail Blazers,41,41,0.5,15,90.7,92,-0.58
Golden State Warriors,37,45,0.451,19,93.3,94,-0.07
Seattle SuperSonics,37,45,0.451,19,97.1,97.8,0.02
Phoenix Suns,29,53,0.354,27,94.2,97.9,-2.94
Los Angeles Clippers,28,54,0.341,28,94.8,99.4,-3.74
