Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,82,240.3,47,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3
2,Boston Celtics,82,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6
3,Oklahoma City Thunder,82,241.5,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1
4,Milwaukee Bucks,82,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119
5,Atlanta Hawks,82,242.1,43,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3
6,Los Angeles Lakers,82,242.1,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118
7,Dallas Mavericks,82,240.3,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5,12.5,18.3,117.9
8,Golden State Warriors,82,241.8,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20,0.78,12.1,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8
9,Sacramento Kings,82,242.1,43.3,90.9,0.477,14.4,39.3,0.366,29,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44,28.3,7.6,4.2,13.1,19.9,116.6
10,Phoenix Suns,82,241.2,42.5,86.1,0.493,12.4,32.6,0.382,30,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27,7.4,6,14.9,18,116.2
11,Utah Jazz,82,241.5,42,89.9,0.467,12.9,36.5,0.354,29.1,53.4,0.544,18.8,22.6,0.83,12.2,33.2,45.5,27.2,6.5,5.6,15.7,18.6,115.7
12,Los Angeles Clippers,82,240.3,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10,32.9,43,25.6,7.8,5,13.1,18.5,115.6
13,New Orleans Pelicans,82,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1
14,Denver Nuggets,82,240.3,44,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9
15,Philadelphia 76ers,82,241.2,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11,31.9,43,24.9,8.5,6,12,20.3,114.6
16,Houston Rockets,82,242.1,41.8,91,0.459,12.7,36.1,0.352,29,54.8,0.53,18.1,23.4,0.773,11.5,34,45.5,24.8,7.8,4.6,12.7,20.8,114.3
17,Washington Wizards,82,240.6,43,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14,20,113.7
18,Minnesota Timberwolves,82,241.5,41.3,85,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113
19,New York Knicks,82,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8
20,Cleveland Cavaliers,82,241.5,41.8,87.2,0.479,13.5,36.8,0.367,28.3,50.4,0.561,15.6,20.4,0.765,9.8,33.4,43.3,28,7.4,4.6,13.6,17.5,112.6
21,Toronto Raptors,82,241.5,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14,18.4,112.4
22,Chicago Bulls,82,243.7,42,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25,7.8,4.8,12.2,18.8,112.3
23,San Antonio Spurs,82,241.8,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1
24,Orlando Magic,82,241.2,40.5,84.9,0.476,11,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5
25,Brooklyn Nets,82,241.5,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4
26,Miami Heat,82,240.9,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18,22,0.818,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1
27,Detroit Pistons,82,240.9,40.9,88.2,0.463,11,31.7,0.348,29.8,56.5,0.528,17,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9
28,Charlotte Hornets,82,240.6,40,87,0.46,12.1,34,0.355,28,53,0.528,14.5,18.4,0.786,9.3,31,40.3,24.8,6.9,4.5,13.8,18,106.6
29,Portland Trail Blazers,82,242.4,39.4,89.7,0.439,11.5,33.2,0.345,27.9,56.5,0.494,16.2,20.5,0.791,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4
30,Memphis Grizzlies,82,241.2,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16,21,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8
