Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,0.468,0.614,0.345,0.373,0.19,0.359,156,447,603,78,131,0.595,146,327,473,82,37,41,84,151,664
2,Steven Adams,C,28,MEM,76,1999,0.547,2.9,0.548,0.632,0.35,0.438,0,0,1,383,384,108,199,0.543,349,411,760,256,65,60,115,153,528
3,Bam Adebayo,C,24,MIA,56,1825,0.557,7,0.562,0.771,0.467,0.404,0.313,0,6,723,729,256,340,0.753,137,427,564,190,80,44,148,171,1068
4,Santi Aldama,PF,21,MEM,32,360,0.402,12,0.56,0.682,0.444,0.417,0,0.125,48,84,132,20,32,0.625,33,54,87,21,6,10,16,36,132
5,LaMarcus Aldridge,C,36,BRK,47,1050,0.55,12.3,0.578,0.729,0.513,0.509,0.563,0.304,46,412,458,89,102,0.873,73,185,258,42,14,47,44,78,607
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,0.433,0.579,0.318,0.375,0.282,0.311,338,342,680,81,109,0.743,37,150,187,156,46,23,93,103,692
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,0.375,15.6,0.434,0.584,0.333,0.362,0.263,0.311,305,327,632,70,97,0.722,36,128,164,139,41,19,85,88,639
6,Nickeil Alexander-Walker,SG,23,UTA,15,149,0.333,18.4,0.4,0.5,0,1,1,0.303,33,15,48,11,12,0.917,1,22,23,17,5,4,8,15,53
7,Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,0.533,0.678,0.4,0.37,0.375,0.409,389,180,569,64,74,0.865,32,190,222,100,46,18,43,96,733
8,Jarrett Allen,C,23,CLE,56,1810,0.677,3.8,0.688,0.809,0.469,0.48,0.6,0.1,10,535,545,165,233,0.708,192,410,602,92,44,75,94,97,904
9,Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,0.538,0.609,0.507,0.483,0.462,0.291,110,184,294,36,53,0.679,25,75,100,152,71,7,40,73,330
10,Justin Anderson,SF,28,TOT,16,316,0.379,18.9,0.583,0.714,0.444,0.25,0.667,0.254,59,36,95,15,19,0.789,4,42,46,33,8,6,8,22,102
10,Justin Anderson,SF,28,CLE,3,47,0.5,22,1,1,,,1,0.333,6,2,8,3,4,0.75,0,6,6,6,1,0,2,4,13
10,Justin Anderson,SF,28,IND,13,269,0.368,18.6,0.559,0.692,0.444,0.25,0.625,0.245,53,34,87,12,15,0.8,4,36,40,27,7,6,6,18,89
11,Kyle Anderson,PF,28,MEM,69,1484,0.446,10.7,0.481,0.641,0.437,0.333,0.238,0.33,109,360,469,67,105,0.638,69,299,368,183,77,45,71,108,521
12,Giannis Antetokounmpo,PF,27,MIL,67,2204,0.553,10,0.616,0.808,0.421,0.416,0.431,0.293,242,1003,1245,553,766,0.722,134,644,778,388,72,91,219,212,2002
13,Thanasis Antetokounmpo,SF,29,MIL,48,473,0.547,5.3,0.596,0.686,0.318,0.2,1,0.143,14,114,128,29,46,0.63,40,61,101,22,16,12,26,68,171
14,Carmelo Anthony,PF,37,LAL,69,1793,0.441,19.1,0.521,0.671,0.417,0.5,0.484,0.375,397,326,723,132,159,0.83,62,226,288,68,47,52,59,166,919
15,Cole Anthony,PG,21,ORL,65,2059,0.391,16.2,0.432,0.59,0.385,0.448,0.305,0.338,391,521,912,216,253,0.854,32,316,348,369,46,17,170,171,1062
16,OG Anunoby,SF,24,TOR,48,1728,0.443,15.1,0.511,0.689,0.356,0.393,0.278,0.363,317,380,697,89,118,0.754,74,190,264,125,71,25,80,131,822
17,Ryan Arcidiacono,PG,27,NYK,10,76,0.5,21.5,0.667,,1,0.5,,0.444,9,3,12,0,0,,0,8,8,4,1,0,3,5,16
18,Trevor Ariza,SF,36,LAL,24,462,0.333,19.3,0.52,0.688,0.25,0,,0.27,74,25,99,10,18,0.556,10,72,82,27,13,6,11,20,96
19,D.J. Augustin,PG,34,TOT,55,883,0.423,20.3,0.448,0.586,0.368,0.25,0.167,0.415,164,58,222,38,43,0.884,11,57,68,107,17,1,56,39,294
19,D.J. Augustin,PG,34,HOU,34,510,0.404,19.8,0.4,0.545,0.3,0,0.2,0.406,96,40,136,33,38,0.868,7,34,41,74,10,0,45,17,182
