nflId,height,weight,birthDate,collegeName,officialPosition,displayName,height_inches
25511,6-4,225,1977-08-03,Michigan,QB,Tom Brady,76.0
28963,6-5,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger,77.0
29550,6-4,328,1982-01-22,Arkansas,T,Jason Peters,76.0
29851,6-2,225,1983-12-02,California,QB,Aaron Rodgers,74.0
30078,6-2,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick,74.0
30842,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis,78.0
30869,6-7,330,1981-12-12,Louisiana State,T,Andrew Whitworth,79.0
33084,6-4,217,1985-05-17,Boston College,QB,Matt Ryan,76.0
33107,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown,76.0
33130,5-10,175,1986-12-01,California,WR,DeSean Jackson,70.0
33131,6-8,300,1986-09-01,Miami,DE,Calais Campbell,80.0
33138,6-3,222,1985-07-02,Michigan,QB,Chad Henne,75.0
33241,6-3,219,05/15/1986,San Diego,QB,Josh Johnson,75.0
33566,5-11,185,1985-11-02,Texas Tech,WR,Danny Amendola,71.0
34452,6-3,220,1988-02-07,Georgia,QB,Matthew Stafford,75.0
34457,6-4,330,1987-01-25,Alabama,T,Andre Smith,76.0
34465,6-0,204,1987-12-20,Ohio State,SS,Malcolm Jenkins,72.0
34472,6-4,311,1985-11-19,California,C,Alex Mack,76.0
34540,6-5,254,1987-04-07,South Carolina,TE,Jared Cook,77.0
34654,5-11,195,1987-08-13,Rutgers,FS,Jason McCourty,71.0
34777,6-3,310,1986-01-03,Troy,NT,Steve McLendon,75.0
34843,6-2,215,1985-10-13,Michigan State,QB,Brian Hoyer,74.0
35441,6-4,313,1987-01-06,Nebraska,DE,Ndamukong Suh,76.0
35442,6-4,300,1988-02-25,Oklahoma,DT,Gerald McCoy,76.0
35443,6-5,320,1988-07-19,Oklahoma,T,Trent Williams,77.0
35446,5-11,195,1989-04-14,Florida,CB,Joe Haden,71.0
